telematics_event_id,vehicle_id,client_id,telematics_device_id,device_firmware_version,event_date,provider_name,distance_km,idle_minutes,harsh_events_count,gps_fix_rate_pct
TEL-0000014,VEH-00078,CLI-0003,TELDEV-000078,4.3.0,2026-03-14,Synthetic GPS Cloud,159.0,13,1,90.11
TEL-0000015,VEH-00045,CLI-0013,TELDEV-000045,5.0.2,2026-03-01,Synthetic OEM Connect,247.3,62,1,94.35
TEL-0000016,VEH-00045,CLI-0013,TELDEV-000045,5.0.2,2026-03-02,Synthetic Safety Telematics,363.5,70,4,95.29
TEL-0000017,VEH-00045,CLI-0013,TELDEV-000045,4.2.1,2026-03-03,Synthetic GPS Cloud,133.6,49,2,92.14
TEL-0000018,VEH-00045,CLI-0013,TELDEV-000045,5.0.2,2026-03-04,Synthetic Safety Telematics,406.6,68,6,93.72
TEL-0000019,VEH-00045,CLI-0013,TELDEV-000045,4.2.1,2026-03-05,Synthetic OEM Connect,4.0,65,2,95.89
TEL-0000020,VEH-00045,CLI-0013,TELDEV-000045,4.2.1,2026-03-06,Synthetic OEM Connect,238.4,34,0,99.02
TEL-0000021,VEH-00045,CLI-0013,TELDEV-000045,5.0.2,2026-03-07,Synthetic OEM Connect,297.2,31,6,96.48
TEL-0000022,VEH-00045,CLI-0013,TELDEV-000045,4.2.1,2026-03-08,Synthetic OEM Connect,414.2,59,4,91.31
TEL-0000023,VEH-00045,CLI-0013,TELDEV-000045,4.3.0,2026-03-09,Synthetic Safety Telematics,395.5,29,4,95.63
TEL-0000024,VEH-00045,CLI-0013,TELDEV-000045,4.2.1,2026-03-10,Synthetic OEM Connect,170.7,40,1,95.62
TEL-0000025,VEH-00045,CLI-0013,TELDEV-000045,4.2.1,2026-03-11,Synthetic Safety Telematics,100.8,11,2,94.9
TEL-0000026,VEH-00045,CLI-0013,TELDEV-000045,4.2.1,2026-03-12,Synthetic Safety Telematics,120.1,63,0,99.55
TEL-0000027,VEH-00045,CLI-0013,TELDEV-000045,4.3.0,2026-03-13,Synthetic Safety Telematics,213.6,93,2,93.76
TEL-0000028,VEH-00045,CLI-0013,TELDEV-000045,5.0.2,2026-03-14,Synthetic Safety Telematics,419.1,68,1,92.87
TEL-0000029,VEH-00097,CLI-0012,TELDEV-000097,5.0.2,2026-03-01,Synthetic GPS Cloud,382.6,95,0,96.57
TEL-0000030,VEH-00097,CLI-0012,TELDEV-000097,5.0.2,2026-03-02,Synthetic Safety Telematics,314.9,31,0,95.29
TEL-0000031,VEH-00097,CLI-0012,TELDEV-000097,4.2.1,2026-03-03,Synthetic Safety Telematics,390.7,67,3,90.1
TEL-0000032,VEH-00097,CLI-0012,TELDEV-000097,4.3.0,2026-03-04,Synthetic GPS Cloud,215.7,6,6,93.95
TEL-0000033,VEH-00097,CLI-0012,TELDEV-000097,4.2.1,2026-03-05,Synthetic OEM Connect,407.3,43,3,97.98
TEL-0000034,VEH-00097,CLI-0012,TELDEV-000097,4.2.1,2026-03-06,Synthetic OEM Connect,125.7,37,4,90.56
TEL-0000035,VEH-00097,CLI-0012,TELDEV-000097,5.0.2,2026-03-07,Synthetic Safety Telematics,238.9,27,4,99.15
TEL-0000036,VEH-00097,CLI-0012,TELDEV-000097,5.0.2,2026-03-08,Synthetic Safety Telematics,346.8,4,7,98.71
TEL-0000037,VEH-00097,CLI-0012,TELDEV-000097,4.3.0,2026-03-09,Synthetic GPS Cloud,149.4,78,7,91.94
TEL-0000038,VEH-00097,CLI-0012,TELDEV-000097,4.3.0,2026-03-10,Synthetic GPS Cloud,2.2,92,2,92.82
TEL-0000039,VEH-00097,CLI-0012,TELDEV-000097,4.2.1,2026-03-11,Synthetic GPS Cloud,180.9,25,1,94.35
TEL-0000040,VEH-00097,CLI-0012,TELDEV-000097,4.2.1,2026-03-12,Synthetic OEM Connect,52.0,62,0,89.87
TEL-0000041,VEH-00097,CLI-0012,TELDEV-000097,5.0.2,2026-03-13,Synthetic OEM Connect,95.0,50,5,91.59
TEL-0000042,VEH-00097,CLI-0012,TELDEV-000097,4.3.0,2026-03-14,Synthetic GPS Cloud,225.3,34,1,99.87
TEL-0000043,VEH-00023,CLI-0002,TELDEV-000023,5.0.2,2026-03-01,Synthetic OEM Connect,68.0,45,6,88.07
TEL-0000044,VEH-00023,CLI-0002,TELDEV-000023,5.0.2,2026-03-02,Synthetic GPS Cloud,46.5,36,0,89.6
TEL-0000045,VEH-00023,CLI-0002,TELDEV-000023,4.3.0,2026-03-03,Synthetic Safety Telematics,139.1,4,2,95.99
TEL-0000046,VEH-00023,CLI-0002,TELDEV-000023,4.3.0,2026-03-04,Synthetic Safety Telematics,412.8,15,6,93.87
TEL-0000047,VEH-00023,CLI-0002,TELDEV-000023,4.3.0,2026-03-05,Synthetic Safety Telematics,300.0,41,6,94.02
TEL-0000048,VEH-00023,CLI-0002,TELDEV-000023,5.0.2,2026-03-06,Synthetic OEM Connect,55.2,13,0,89.51
TEL-0000049,VEH-00023,CLI-0002,TELDEV-000023,4.3.0,2026-03-07,Synthetic Safety Telematics,5.7,87,3,88.62
TEL-0000050,VEH-00023,CLI-0002,TELDEV-000023,4.3.0,2026-03-08,Synthetic OEM Connect,410.1,94,0,93.21
TEL-0000051,VEH-00023,CLI-0002,TELDEV-000023,4.3.0,2026-03-09,Synthetic OEM Connect,204.1,54,3,95.41
TEL-0000052,VEH-00023,CLI-0002,TELDEV-000023,5.0.2,2026-03-10,Synthetic Safety Telematics,78.5,35,1,98.37
TEL-0000053,VEH-00023,CLI-0002,TELDEV-000023,5.0.2,2026-03-11,Synthetic GPS Cloud,279.9,54,3,93.69
TEL-0000054,VEH-00023,CLI-0002,TELDEV-000023,4.2.1,2026-03-12,Synthetic Safety Telematics,306.8,78,2,90.26
TEL-0000055,VEH-00023,CLI-0002,TELDEV-000023,5.0.2,2026-03-13,Synthetic Safety Telematics,266.5,29,1,89.59
TEL-0000056,VEH-00023,CLI-0002,TELDEV-000023,4.2.1,2026-03-14,Synthetic OEM Connect,416.0,18,6,88.21
TEL-0000057,VEH-00119,CLI-0008,TELDEV-000119,4.2.1,2026-03-01,Synthetic GPS Cloud,363.0,48,6,94.3
TEL-0000058,VEH-00119,CLI-0008,TELDEV-000119,5.0.2,2026-03-02,Synthetic Safety Telematics,411.7,28,5,93.11
TEL-0000059,VEH-00119,CLI-0008,TELDEV-000119,4.2.1,2026-03-03,Synthetic Safety Telematics,179.4,6,4,89.32
TEL-0000060,VEH-00119,CLI-0008,TELDEV-000119,4.3.0,2026-03-04,Synthetic OEM Connect,396.1,91,6,90.96
TEL-0000061,VEH-00119,CLI-0008,TELDEV-000119,4.2.1,2026-03-05,Synthetic GPS Cloud,17.2,6,5,90.54
TEL-0000062,VEH-00119,CLI-0008,TELDEV-000119,4.3.0,2026-03-06,Synthetic OEM Connect,381.6,12,6,90.22
TEL-0000063,VEH-00119,CLI-0008,TELDEV-000119,4.3.0,2026-03-07,Synthetic OEM Connect,140.4,14,1,96.03
TEL-0000064,VEH-00119,CLI-0008,TELDEV-000119,5.0.2,2026-03-08,Synthetic Safety Telematics,323.6,16,5,92.33
TEL-0000065,VEH-00119,CLI-0008,TELDEV-000119,4.3.0,2026-03-09,Synthetic Safety Telematics,327.1,67,5,90.86
TEL-0000066,VEH-00119,CLI-0008,TELDEV-000119,4.3.0,2026-03-10,Synthetic GPS Cloud,245.4,11,1,89.57
TEL-0000067,VEH-00119,CLI-0008,TELDEV-000119,5.0.2,2026-03-11,Synthetic Safety Telematics,50.5,75,3,90.32
TEL-0000068,VEH-00119,CLI-0008,TELDEV-000119,4.3.0,2026-03-12,Synthetic GPS Cloud,31.4,69,5,91.62
TEL-0000069,VEH-00119,CLI-0008,TELDEV-000119,4.3.0,2026-03-13,Synthetic GPS Cloud,224.1,19,0,89.53
TEL-0000070,VEH-00119,CLI-0008,TELDEV-000119,4.3.0,2026-03-14,Synthetic Safety Telematics,298.9,71,5,98.74
TEL-0000071,VEH-00098,CLI-0012,TELDEV-000098,4.3.0,2026-03-01,Synthetic Safety Telematics,301.3,55,1,93.79
TEL-0000072,VEH-00098,CLI-0012,TELDEV-000098,5.0.2,2026-03-02,Synthetic Safety Telematics,332.2,21,4,96.36
TEL-0000073,VEH-00098,CLI-0012,TELDEV-000098,4.2.1,2026-03-03,Synthetic OEM Connect,19.1,72,0,97.53
TEL-0000074,VEH-00098,CLI-0012,TELDEV-000098,5.0.2,2026-03-04,Synthetic GPS Cloud,311.1,50,7,96.22
TEL-0000075,VEH-00098,CLI-0012,TELDEV-000098,5.0.2,2026-03-05,Synthetic GPS Cloud,69.5,65,6,94.75
TEL-0000076,VEH-00098,CLI-0012,TELDEV-000098,4.3.0,2026-03-06,Synthetic OEM Connect,255.0,26,2,88.04
TEL-0000077,VEH-00098,CLI-0012,TELDEV-000098,5.0.2,2026-03-07,Synthetic GPS Cloud,248.7,1,7,94.05
TEL-0000078,VEH-00098,CLI-0012,TELDEV-000098,5.0.2,2026-03-08,Synthetic Safety Telematics,108.7,28,4,96.5
TEL-0000079,VEH-00098,CLI-0012,TELDEV-000098,5.0.2,2026-03-09,Synthetic GPS Cloud,71.9,5,3,91.5
TEL-0000080,VEH-00098,CLI-0012,TELDEV-000098,5.0.2,2026-03-10,Synthetic GPS Cloud,395.7,35,2,91.25
TEL-0000081,VEH-00098,CLI-0012,TELDEV-000098,4.2.1,2026-03-11,Synthetic Safety Telematics,411.6,26,1,88.02
TEL-0000082,VEH-00098,CLI-0012,TELDEV-000098,4.3.0,2026-03-12,Synthetic Safety Telematics,254.2,47,5,89.0
TEL-0000083,VEH-00098,CLI-0012,TELDEV-000098,5.0.2,2026-03-13,Synthetic Safety Telematics,110.9,17,6,98.78
TEL-0000084,VEH-00098,CLI-0012,TELDEV-000098,4.3.0,2026-03-14,Synthetic OEM Connect,413.8,80,0,97.89
TEL-0000085,VEH-00071,CLI-0006,TELDEV-000071,4.2.1,2026-03-01,Synthetic Safety Telematics,405.4,22,4,99.66
TEL-0000086,VEH-00071,CLI-0006,TELDEV-000071,5.0.2,2026-03-02,Synthetic Safety Telematics,411.1,74,1,96.67
TEL-0000087,VEH-00071,CLI-0006,TELDEV-000071,5.0.2,2026-03-03,Synthetic OEM Connect,397.2,32,3,97.8
TEL-0000088,VEH-00071,CLI-0006,TELDEV-000071,4.2.1,2026-03-04,Synthetic OEM Connect,112.9,74,6,89.87
TEL-0000089,VEH-00071,CLI-0006,TELDEV-000071,4.2.1,2026-03-05,Synthetic Safety Telematics,305.0,47,2,98.83
TEL-0000090,VEH-00071,CLI-0006,TELDEV-000071,4.2.1,2026-03-06,Synthetic OEM Connect,76.2,23,2,90.27
TEL-0000091,VEH-00071,CLI-0006,TELDEV-000071,4.3.0,2026-03-07,Synthetic Safety Telematics,75.8,36,0,91.72
TEL-0000092,VEH-00071,CLI-0006,TELDEV-000071,4.2.1,2026-03-08,Synthetic OEM Connect,288.7,24,1,89.72
TEL-0000093,VEH-00071,CLI-0006,TELDEV-000071,4.3.0,2026-03-09,Synthetic GPS Cloud,191.1,82,6,89.2
TEL-0000094,VEH-00071,CLI-0006,TELDEV-000071,5.0.2,2026-03-10,Synthetic GPS Cloud,305.2,1,1,92.53
TEL-0000095,VEH-00071,CLI-0006,TELDEV-000071,4.2.1,2026-03-11,Synthetic GPS Cloud,347.2,82,0,89.59
TEL-0000096,VEH-00071,CLI-0006,TELDEV-000071,4.2.1,2026-03-12,Synthetic OEM Connect,59.9,80,0,97.51
TEL-0000097,VEH-00071,CLI-0006,TELDEV-000071,4.2.1,2026-03-13,Synthetic GPS Cloud,227.8,43,1,90.43
TEL-0000098,VEH-00071,CLI-0006,TELDEV-000071,4.3.0,2026-03-14,Synthetic Safety Telematics,374.8,20,4,91.98
TEL-0000099,VEH-00114,CLI-0001,TELDEV-000114,4.2.1,2026-03-01,Synthetic GPS Cloud,23.5,88,4,95.53
TEL-0000100,VEH-00114,CLI-0001,TELDEV-000114,4.2.1,2026-03-02,Synthetic GPS Cloud,346.5,13,4,89.23
TEL-0000101,VEH-00114,CLI-0001,TELDEV-000114,4.3.0,2026-03-03,Synthetic GPS Cloud,0.5,28,0,90.72
TEL-0000102,VEH-00114,CLI-0001,TELDEV-000114,4.3.0,2026-03-04,Synthetic GPS Cloud,148.4,36,3,99.06
TEL-0000103,VEH-00114,CLI-0001,TELDEV-000114,5.0.2,2026-03-05,Synthetic OEM Connect,288.4,91,1,93.9
TEL-0000104,VEH-00114,CLI-0001,TELDEV-000114,4.2.1,2026-03-06,Synthetic GPS Cloud,42.7,36,5,88.92
TEL-0000105,VEH-00114,CLI-0001,TELDEV-000114,4.3.0,2026-03-07,Synthetic GPS Cloud,151.4,10,0,95.25
TEL-0000106,VEH-00114,CLI-0001,TELDEV-000114,4.2.1,2026-03-08,Synthetic OEM Connect,222.8,76,2,96.15
TEL-0000107,VEH-00114,CLI-0001,TELDEV-000114,4.2.1,2026-03-09,Synthetic Safety Telematics,288.6,79,4,92.18
TEL-0000108,VEH-00114,CLI-0001,TELDEV-000114,4.2.1,2026-03-10,Synthetic OEM Connect,384.8,84,5,99.19
TEL-0000109,VEH-00114,CLI-0001,TELDEV-000114,5.0.2,2026-03-11,Synthetic GPS Cloud,331.3,19,2,91.84
TEL-0000110,VEH-00114,CLI-0001,TELDEV-000114,4.3.0,2026-03-12,Synthetic OEM Connect,303.0,61,1,89.36
TEL-0000111,VEH-00114,CLI-0001,TELDEV-000114,4.3.0,2026-03-13,Synthetic Safety Telematics,117.0,11,5,99.94
TEL-0000112,VEH-00114,CLI-0001,TELDEV-000114,4.2.1,2026-03-14,Synthetic OEM Connect,148.1,63,6,93.78
TEL-0000113,VEH-00095,CLI-0008,TELDEV-000095,4.3.0,2026-03-01,Synthetic Safety Telematics,333.3,42,2,97.63
TEL-0000114,VEH-00095,CLI-0008,TELDEV-000095,5.0.2,2026-03-02,Synthetic GPS Cloud,160.9,70,7,94.46
TEL-0000115,VEH-00095,CLI-0008,TELDEV-000095,4.3.0,2026-03-03,Synthetic Safety Telematics,225.2,29,6,89.0
TEL-0000116,VEH-00095,CLI-0008,TELDEV-000095,5.0.2,2026-03-04,Synthetic OEM Connect,221.3,88,3,96.44
TEL-0000117,VEH-00095,CLI-0008,TELDEV-000095,4.2.1,2026-03-05,Synthetic OEM Connect,1.2,2,5,94.7
TEL-0000118,VEH-00095,CLI-0008,TELDEV-000095,4.2.1,2026-03-06,Synthetic GPS Cloud,25.0,44,5,98.19
TEL-0000119,VEH-00095,CLI-0008,TELDEV-000095,4.2.1,2026-03-07,Synthetic OEM Connect,193.4,70,6,90.91
TEL-0000120,VEH-00095,CLI-0008,TELDEV-000095,4.2.1,2026-03-08,Synthetic GPS Cloud,313.7,15,2,92.53
TEL-0000121,VEH-00095,CLI-0008,TELDEV-000095,4.2.1,2026-03-09,Synthetic Safety Telematics,405.3,47,0,96.42
TEL-0000122,VEH-00095,CLI-0008,TELDEV-000095,5.0.2,2026-03-10,Synthetic Safety Telematics,31.0,76,2,88.36
TEL-0000123,VEH-00095,CLI-0008,TELDEV-000095,4.3.0,2026-03-11,Synthetic GPS Cloud,33.2,9,0,94.83
TEL-0000124,VEH-00095,CLI-0008,TELDEV-000095,4.3.0,2026-03-12,Synthetic GPS Cloud,321.5,60,2,96.98
TEL-0000125,VEH-00095,CLI-0008,TELDEV-000095,5.0.2,2026-03-13,Synthetic OEM Connect,197.5,92,5,93.33
TEL-0000126,VEH-00095,CLI-0008,TELDEV-000095,5.0.2,2026-03-14,Synthetic Safety Telematics,5.5,14,2,88.72
TEL-0000127,VEH-00003,CLI-0013,TELDEV-000003,5.0.2,2026-03-01,Synthetic GPS Cloud,253.8,22,2,88.13
TEL-0000128,VEH-00003,CLI-0013,TELDEV-000003,4.3.0,2026-03-02,Synthetic Safety Telematics,398.3,58,4,99.03
TEL-0000129,VEH-00003,CLI-0013,TELDEV-000003,5.0.2,2026-03-03,Synthetic OEM Connect,297.9,54,2,91.26
TEL-0000130,VEH-00003,CLI-0013,TELDEV-000003,4.2.1,2026-03-04,Synthetic Safety Telematics,158.6,16,3,92.8
TEL-0000131,VEH-00003,CLI-0013,TELDEV-000003,4.2.1,2026-03-05,Synthetic GPS Cloud,164.8,95,1,97.8
TEL-0000132,VEH-00003,CLI-0013,TELDEV-000003,4.3.0,2026-03-06,Synthetic OEM Connect,131.5,82,6,97.93
TEL-0000133,VEH-00003,CLI-0013,TELDEV-000003,4.2.1,2026-03-07,Synthetic GPS Cloud,337.4,82,6,90.34
TEL-0000134,VEH-00003,CLI-0013,TELDEV-000003,4.2.1,2026-03-08,Synthetic GPS Cloud,32.7,77,5,88.34
TEL-0000135,VEH-00003,CLI-0013,TELDEV-000003,4.3.0,2026-03-09,Synthetic GPS Cloud,227.5,8,3,95.17
TEL-0000136,VEH-00003,CLI-0013,TELDEV-000003,4.3.0,2026-03-10,Synthetic GPS Cloud,231.7,81,0,90.88
TEL-0000137,VEH-00003,CLI-0013,TELDEV-000003,4.2.1,2026-03-11,Synthetic Safety Telematics,237.2,72,7,88.55
TEL-0000138,VEH-00003,CLI-0013,TELDEV-000003,4.3.0,2026-03-12,Synthetic GPS Cloud,396.3,1,5,97.02
TEL-0000139,VEH-00003,CLI-0013,TELDEV-000003,4.3.0,2026-03-13,Synthetic Safety Telematics,81.9,50,5,99.69
TEL-0000140,VEH-00003,CLI-0013,TELDEV-000003,5.0.2,2026-03-14,Synthetic Safety Telematics,40.9,52,1,94.03
TEL-0000141,VEH-00031,CLI-0017,TELDEV-000031,4.2.1,2026-03-01,Synthetic GPS Cloud,246.6,48,7,95.04
TEL-0000142,VEH-00031,CLI-0017,TELDEV-000031,4.2.1,2026-03-02,Synthetic OEM Connect,67.7,87,7,88.95
TEL-0000143,VEH-00031,CLI-0017,TELDEV-000031,5.0.2,2026-03-03,Synthetic GPS Cloud,400.2,29,3,97.69
TEL-0000144,VEH-00031,CLI-0017,TELDEV-000031,5.0.2,2026-03-04,Synthetic GPS Cloud,322.9,20,5,93.37
TEL-0000145,VEH-00031,CLI-0017,TELDEV-000031,4.2.1,2026-03-05,Synthetic OEM Connect,122.2,79,6,88.48
TEL-0000146,VEH-00031,CLI-0017,TELDEV-000031,5.0.2,2026-03-06,Synthetic Safety Telematics,162.8,26,1,99.5
TEL-0000147,VEH-00031,CLI-0017,TELDEV-000031,5.0.2,2026-03-07,Synthetic Safety Telematics,417.6,12,0,89.71
TEL-0000148,VEH-00031,CLI-0017,TELDEV-000031,4.3.0,2026-03-08,Synthetic Safety Telematics,364.4,11,7,89.13
TEL-0000149,VEH-00031,CLI-0017,TELDEV-000031,4.3.0,2026-03-09,Synthetic GPS Cloud,392.3,20,1,91.36
TEL-0000150,VEH-00031,CLI-0017,TELDEV-000031,4.3.0,2026-03-10,Synthetic OEM Connect,37.5,22,7,91.1
TEL-0000151,VEH-00031,CLI-0017,TELDEV-000031,4.3.0,2026-03-11,Synthetic OEM Connect,320.5,56,2,99.28
TEL-0000152,VEH-00031,CLI-0017,TELDEV-000031,5.0.2,2026-03-12,Synthetic OEM Connect,16.6,36,6,92.91
TEL-0000153,VEH-00031,CLI-0017,TELDEV-000031,5.0.2,2026-03-13,Synthetic Safety Telematics,54.2,46,5,92.48
TEL-0000154,VEH-00031,CLI-0017,TELDEV-000031,5.0.2,2026-03-14,Synthetic OEM Connect,212.5,33,0,95.45
TEL-0000155,VEH-00030,CLI-0011,TELDEV-000030,5.0.2,2026-03-01,Synthetic GPS Cloud,311.2,31,0,89.85
TEL-0000156,VEH-00030,CLI-0011,TELDEV-000030,4.2.1,2026-03-02,Synthetic OEM Connect,157.8,72,6,98.25
TEL-0000157,VEH-00030,CLI-0011,TELDEV-000030,4.2.1,2026-03-03,Synthetic OEM Connect,367.1,85,1,92.19
TEL-0000158,VEH-00030,CLI-0011,TELDEV-000030,4.3.0,2026-03-04,Synthetic Safety Telematics,224.7,59,1,89.03
TEL-0000159,VEH-00030,CLI-0011,TELDEV-000030,5.0.2,2026-03-05,Synthetic GPS Cloud,385.3,50,6,90.39
TEL-0000160,VEH-00030,CLI-0011,TELDEV-000030,4.3.0,2026-03-06,Synthetic GPS Cloud,133.3,77,7,90.55
TEL-0000161,VEH-00030,CLI-0011,TELDEV-000030,5.0.2,2026-03-07,Synthetic OEM Connect,48.0,58,0,94.54
TEL-0000162,VEH-00030,CLI-0011,TELDEV-000030,4.3.0,2026-03-08,Synthetic GPS Cloud,268.9,40,0,99.85
TEL-0000163,VEH-00030,CLI-0011,TELDEV-000030,4.3.0,2026-03-09,Synthetic GPS Cloud,393.3,46,6,99.74
TEL-0000164,VEH-00030,CLI-0011,TELDEV-000030,4.2.1,2026-03-10,Synthetic GPS Cloud,88.8,2,6,91.24
TEL-0000165,VEH-00030,CLI-0011,TELDEV-000030,5.0.2,2026-03-11,Synthetic GPS Cloud,35.1,8,4,92.86
TEL-0000166,VEH-00030,CLI-0011,TELDEV-000030,4.3.0,2026-03-12,Synthetic Safety Telematics,189.6,53,3,96.04
TEL-0000167,VEH-00030,CLI-0011,TELDEV-000030,4.3.0,2026-03-13,Synthetic GPS Cloud,348.8,11,6,92.1
TEL-0000168,VEH-00030,CLI-0011,TELDEV-000030,4.3.0,2026-03-14,Synthetic GPS Cloud,83.4,53,7,93.71
TEL-0000169,VEH-00022,CLI-0004,TELDEV-000022,5.0.2,2026-03-01,Synthetic GPS Cloud,405.5,55,5,98.95
TEL-0000170,VEH-00022,CLI-0004,TELDEV-000022,5.0.2,2026-03-02,Synthetic OEM Connect,345.7,71,3,88.93
TEL-0000171,VEH-00022,CLI-0004,TELDEV-000022,5.0.2,2026-03-03,Synthetic Safety Telematics,258.9,41,5,88.17
TEL-0000172,VEH-00022,CLI-0004,TELDEV-000022,4.3.0,2026-03-04,Synthetic GPS Cloud,209.8,40,1,97.5
TEL-0000173,VEH-00022,CLI-0004,TELDEV-000022,5.0.2,2026-03-05,Synthetic OEM Connect,110.4,92,0,99.86
TEL-0000174,VEH-00022,CLI-0004,TELDEV-000022,4.2.1,2026-03-06,Synthetic Safety Telematics,188.7,74,1,88.44
TEL-0000175,VEH-00022,CLI-0004,TELDEV-000022,5.0.2,2026-03-07,Synthetic GPS Cloud,176.5,69,2,95.21
TEL-0000176,VEH-00022,CLI-0004,TELDEV-000022,4.2.1,2026-03-08,Synthetic OEM Connect,88.1,24,0,92.44
TEL-0000177,VEH-00022,CLI-0004,TELDEV-000022,4.3.0,2026-03-09,Synthetic GPS Cloud,126.8,39,1,96.39
TEL-0000178,VEH-00022,CLI-0004,TELDEV-000022,5.0.2,2026-03-10,Synthetic OEM Connect,173.9,45,5,97.94
TEL-0000179,VEH-00022,CLI-0004,TELDEV-000022,4.3.0,2026-03-11,Synthetic Safety Telematics,409.1,42,1,99.12
TEL-0000180,VEH-00022,CLI-0004,TELDEV-000022,4.3.0,2026-03-12,Synthetic OEM Connect,156.7,70,2,94.51
TEL-0000181,VEH-00022,CLI-0004,TELDEV-000022,4.3.0,2026-03-13,Synthetic OEM Connect,354.9,88,6,95.61
TEL-0000182,VEH-00022,CLI-0004,TELDEV-000022,5.0.2,2026-03-14,Synthetic Safety Telematics,393.9,12,1,97.67
TEL-0000183,VEH-00032,CLI-0010,TELDEV-000032,4.2.1,2026-03-01,Synthetic GPS Cloud,272.8,78,6,89.24
TEL-0000184,VEH-00032,CLI-0010,TELDEV-000032,5.0.2,2026-03-02,Synthetic Safety Telematics,389.4,12,7,94.04
TEL-0000185,VEH-00032,CLI-0010,TELDEV-000032,4.2.1,2026-03-03,Synthetic Safety Telematics,121.8,53,3,90.67
TEL-0000186,VEH-00032,CLI-0010,TELDEV-000032,4.3.0,2026-03-04,Synthetic Safety Telematics,160.1,25,7,99.41
TEL-0000187,VEH-00032,CLI-0010,TELDEV-000032,4.3.0,2026-03-05,Synthetic OEM Connect,173.4,82,6,88.09
TEL-0000188,VEH-00032,CLI-0010,TELDEV-000032,4.3.0,2026-03-06,Synthetic GPS Cloud,213.2,34,4,91.69
TEL-0000189,VEH-00032,CLI-0010,TELDEV-000032,4.3.0,2026-03-07,Synthetic Safety Telematics,101.5,53,0,88.19
TEL-0000190,VEH-00032,CLI-0010,TELDEV-000032,4.2.1,2026-03-08,Synthetic OEM Connect,353.1,66,5,92.02
TEL-0000191,VEH-00032,CLI-0010,TELDEV-000032,5.0.2,2026-03-09,Synthetic OEM Connect,101.6,50,3,95.4
TEL-0000192,VEH-00032,CLI-0010,TELDEV-000032,4.3.0,2026-03-10,Synthetic GPS Cloud,336.6,73,6,89.55
TEL-0000193,VEH-00032,CLI-0010,TELDEV-000032,5.0.2,2026-03-11,Synthetic OEM Connect,410.5,22,6,98.85
TEL-0000194,VEH-00032,CLI-0010,TELDEV-000032,5.0.2,2026-03-12,Synthetic GPS Cloud,183.7,12,2,94.05
TEL-0000195,VEH-00032,CLI-0010,TELDEV-000032,5.0.2,2026-03-13,Synthetic Safety Telematics,329.4,80,4,98.05
TEL-0000196,VEH-00032,CLI-0010,TELDEV-000032,4.2.1,2026-03-14,Synthetic OEM Connect,85.6,11,0,93.25
TEL-0000197,VEH-00126,CLI-0017,TELDEV-000126,5.0.2,2026-03-01,Synthetic Safety Telematics,64.3,79,1,94.86
TEL-0000198,VEH-00126,CLI-0017,TELDEV-000126,4.2.1,2026-03-02,Synthetic Safety Telematics,308.4,58,5,90.24
TEL-0000199,VEH-00126,CLI-0017,TELDEV-000126,5.0.2,2026-03-03,Synthetic GPS Cloud,124.7,68,3,96.72
TEL-0000200,VEH-00126,CLI-0017,TELDEV-000126,4.3.0,2026-03-04,Synthetic OEM Connect,276.9,35,1,99.22
TEL-0000201,VEH-00126,CLI-0017,TELDEV-000126,5.0.2,2026-03-05,Synthetic GPS Cloud,268.1,74,1,89.33
